hash,correto,predito
b810fa79f87f4d7a7d017f62572b215d,491.2,540.0014000000003
49f467f55436beb300c6277fedf84af0,99.1,94.80160000000004
8489c5fb15d292b492094183a624cf64,184.1,187.83199999999985
249d20096d17289911d52eb21ee66b16,102.0,100.49699999999997
c9706db132843fa59b8ef14baa3f5e0f,370.5,347.0920000000001
abca88f9a79b9fc5e204d40948fed214,45.0,45.032999999999994
0d4a0d038cd24b48ed7fe3706fe7e897,202.5,210.93599999999992
2a88690231279d804a54d52ff2be2b37,193.8,201.46400000000003
1ea27042d2af1727b0bc0419afe33fa6,47.1,48.165000000000006
17bbce20cc44e84a3a94460fde2dab6a,82.0,87.39599999999999
b981a80d08a2735c4b2ac4ce8af4236d,39.9,40.06300000000005
e986969137f9b66ed12573b73d861dbe,152.8,148.44100000000003
4659bbd1894e96a00ee18070bccc41ee,88.0,47.18499999999998
e2fbfc4c20118ed7d791680bac0de62d,45.0,44.053999999999995
b5961709a196a3521a29981c82012fe4,39.9,40.165000000000056
b6eb629ec0362fab21b91daa05bc2fb0,111.0,117.79200000000004
c89b07a78113f56c1f39ccc807a4594f,73.2,75.89649999999999
efdca12c67905532612a39aa3a749481,77.1,87.6725
6e740383c4310655b2e90ac678fbcaad,47.5,48.14549999999996
bd29823bc31c1b0435d4956f0f3db67c,40.0,41.09200000000003
1b14f6b67db225cce3566e34611df8ae,39.9,39.90800000000006
429a009bc269dafbd970eceb778e56a9,56.0,57.57500000000002
d9383b6ec9abbe2888d7ab9749e949de,44.0,43.965
a458b8d96e5e242ee474bcb316c0ec60,626.0,668.8099999999998
574921d6dbc0e029bb87d816903df8d8,94.0,119.02700000000006
63d0d2c9f5e8950422e03dffd9357339,139.0,144.18900000000002
fc257f8187e0dc2d8b4e073007a0d411,256.8,232.56099999999995
7eeb29d61836bc0ffe1213daae49de4b,49.1,61.699999999999974
801cf69e5ddc4caa1e06010b48512a85,114.0,115.88600000000001
b9e3c6ddaa4c1808488a701ab5a7d05a,42.0,40.13600000000005
196ef979357b0d9e7f9f5a5d69cd38a8,39.9,40.23200000000003
dd91fdb87ca1adb9a983de3ec1f809bf,60.1,59.990999999999985
38e934dc003845c5bd58e3973be67c1d,43.6,45.0586
9924e39527d9f8d90710324838197051,155.4,165.37700000000004
d24bd82823795681a222193d0b28be48,40.9,40.04800000000006
69e57d32a38aa248b9cdb80918872578,88.5,84.24900000000001
4095c15028c59810a3ab3dd9dc1b99b5,200.1,238.451
e3040a651e01c42c0113b6f6c29bdfdb,43.7,44.07799999999998
7985924fc68ce329befc7eef93710a62,302.0,339.4590000000002
047c49db3978b69a445801cb219989b6,48.0,71.869
d7b46642737aa774d8626e4048457399,115.4,107.99299999999992
5cf90ca744bde027caf7282bde922964,49.5,53.618999999999986
5ce1bf76150db4f1ced24031a2f70dcf,241.0,258.62689999999986
6c6c43380fc1d00439fbdc133d4bb3fd,478.1,467.8890000000002
b06551659cfcb886307d00aa11b9360b,97.0,60.04839999999999
ba484b336c11ea2ec0aeb696edab2c61,256.0,241.0050000000001
371a3e9d5bfdf27f60774f4c95386878,177.0,159.004
a77be586b57048c0085715e6420e9af0,59.0,53.02050000000001
2488699b3f99bca584d61d1ba74616bf,334.8,330.66299999999967
fed45567d7427d7d2e9f20e30a743c78,39.9,41.37500000000003
80d434de25c91aa3472b93dbd522b1cc,43.6,44.180999999999976
b6ac7e8a1e4d94a16eb9c602c9aca794,248.9,264.92199999999997
1b197080c50ff74d87cda16cca52d533,43.6,44.89459999999999
8e4c7b7a95d8d1da2c6c06b0fdc29d57,235.1,232.06999999999985
79b65b4377eb343fa2d6a435bf95ae57,78.0,94.25800000000001
0c0ec577151928d2a9220733e9496511,89.1,91.39199999999997
9c33775d4e754b3d592f608d5c271010,61.4,59.93249999999996
79bdc68bd162c6125adfb950d4c4f9b3,117.3,134.783
8138a1c1be5eedaf882712d7f9ec8a65,75.6,85.38950000000001
5924bd9c79c8ae92576a694a5086b5c0,103.5,94.912
783570e51cf3296545561797f216a640,43.6,47.87400000000002
1d409a502f3a63b4ac7ace3ab0c4a73a,198.5,207.25300000000004
eaab271dc1178716e11b3dffab50ed6d,561.9,551.2381999999997
17d06b37de21e873c837f079a26eb0d9,109.0,104.6346
2d4849971453b40dd9882481dfc7c1fa,60.3,54.84450000000001
2e6c1d5e556c2138accad3018c371df1,539.3,543.7396
3d845ff165d55e33d418d368059b3c50,67.5,66.91300000000005
ec8569ab3a02e047a5d2ebb7d20d5d78,185.1,149.637
2388b3309b2f0bf0061166658dd8e159,200.0,227.0289
aa4d41d14d9e21ccec3c19466177d537,311.1,327.91599999999994
a4044e3c2d318ee9ea0f960b8ae77e63,43.6,44.094999999999985
8b8fd27e568e1f6ef79ccbdb0cd341b2,82.0,84.35450000000003
d5fb3f7c6b9bfd7ca6933afbe2cc3208,39.9,39.94000000000004
5fb985cbee1def37884daafe75f7693d,80.0,84.62800000000001
a963eab1387500126b8e60626abf6991,60.0,58.825000000000024
70b4a0035d2a3c3e92c979a45cb70d3a,217.9,216.20399999999995
d94fbdb1edf0956ba047845a23ea2591,47.4,53.248000000000005
704aaa1c34caedfb463451fc503ffef8,98.1,103.89
7c7f4040a6f9157698388d59dd86f87f,74.4,74.17849999999997
7925009d0952d036e57faa973e01b807,548.0,559.9971999999997
ec11f7ef4913bd56b6479ea69b857fa4,55.4,53.06300000000001
48df402446d363fa01d941759cb22abb,61.6,61.309000000000005
722686f3c6399635255741e9e6a07971,57.8,146.72499999999997
c81109a3a7ff7a94e32f1f9d5c6d26bf,55.0,68.28299999999999
a2989a8d5292a8602cab49c21bbeb5a2,345.9,331.7269999999998
4972b9647acb567ed097beae1dea826a,69.0,66.90099999999998
7f91cbd8fba53be05faf21ca7c519d29,72.6,72.83549999999997
d153162abe2665e7183d1b33f8ccf2f1,50.2,60.24879999999999
f5d5cbe727ce819378139cae3460b2e5,534.0,539.9019999999997
9888544f65778b8cb56454ff5659db15,88.4,70.81399999999995
c6b7deef82089e1edda415071342d644,81.0,65.42199999999998
78ce2ef16c8c0f2140fb98be4c1d083b,185.4,178.64600000000002
2559ff17646b6fe12f3c6c1772088aae,93.0,88.691
5d1301643309e6f73ff4ef1fbe5d7ebf,170.0,173.80099999999996
2fc0bf7d8fd716da27243edb719886a2,188.0,251.08700000000005
0cb4d1209da15e3e33c51542fc3f10d5,44.0,43.64399999999996
62441947847292ce57c332a53f673441,235.3,276.7377999999998
457e13ed38dbc4db88038d4e82408fcc,353.4,241.87699999999978
1071c7b0340e7b7e9fd2c66bf6ceb106,135.0,162.27100000000002
3ac3c9f71e12513cff8a5313282d3345,39.9,39.93100000000005
c25285c9f05219bf5b0caf368b67395b,253.7,205.2130000000001
7709a5c634217d09a8fce7ab7cb0c75c,64.5,69.58899999999998
cc0ffe0372ea751019c11d5fe0e224c1,666.7,677.686
9cd7a5e189e180cd116dea604e380fb8,54.0,54.27799999999999
288646b4b42fe8c02cfa4b90171d9184,71.4,64.37399999999995
